modality	code	language_of_datasheet
scs	ab	en
scs	abb	en
scs	ady	en
scs	af	en
scs	ajg	en
scs	am	en
scs	an	en
scs	ar	en
scs	as	en
scs	ast	en
scs	az	en
scs	ba	en
scs	bag	en
scs	bas	en
scs	bax	en
scs	bba	en
scs	bbj	en
scs	bbl	en
scs	bce	en
scs	bci	en
scs	be	en
scs	beb	en
scs	bfd	en
scs	bft	en
scs	bg	en
scs	bgp	en
scs	bkh	en
scs	bkm	en
scs	bn	en
scs	bnm	en
scs	bnn	en
scs	br	en
scs	brh	en
scs	bri	en
scs	bsh	en
scs	bsk	en
scs	btv	en
scs	bum	en
scs	byv	en
scs	ca	en
scs	cjk	en
scs	ckb	en
scs	cnh	en
scs	cpy	en
scs	cs	en
scs	cut	es
scs	cux	es
scs	cv	en
scs	cy	en
scs	da	en
scs	dag	en
scs	dar	en
scs	dav	en
scs	de	en
scs	dmk	en
scs	dml	en
scs	dru	en
scs	dua	en
scs	dv	en
scs	dyu	en
scs	ebr	en
scs	eko	en
scs	el	en
scs	en	en
scs	eo	en
scs	es	en
scs	esu	en
scs	et	en
scs	eto	en
scs	eu	en
scs	ewo	en
scs	fa	en
scs	fan	en
scs	fi	en
scs	fmp	en
scs	fr	en
scs	fub	en
scs	fue	en
scs	fy-NL	en
scs	ga-IE	en
scs	gej	en
scs	ggg	en
scs	gid	en
scs	gig	en
scs	giz	en
scs	gjk	en
scs	gju	en
scs	gl	en
scs	gn	en
scs	gsw	en
scs	gv	en
scs	gwc	en
scs	gwt	en
scs	gya	en
scs	ha	en
scs	haz	en
scs	he	en
scs	hem	en
scs	hi	en
scs	hno	en
scs	hsb	en
scs	ht	en
scs	hu	en
scs	hux	en
scs	hy-AM	en
scs	ia	en
scs	ibb	en
scs	id	en
scs	ig	en
scs	ipk	en
scs	is	en
scs	it	en
scs	ja	en
scs	jgo	en
scs	jqr	en
scs	ka	en
scs	kab	en
scs	kbd	en
scs	kdh	en
scs	khw	en
scs	kk	en
scs	kln	en
scs	kls	en
scs	kmr	en
scs	ko	en
scs	ksf	en
scs	kvx	en
scs	kw	en
scs	kxp	en
scs	ky	en
scs	lg	en
scs	lij	en
scs	lo	en
scs	lrk	en
scs	lss	en
scs	lt	en
scs	ltg	en
scs	lua	en
scs	luo	en
scs	lv	en
scs	mau	es
scs	mbo	en
scs	mcf	en
scs	mcn	en
scs	mcx	en
scs	mdd	en
scs	mdf	en
scs	mgg	en
scs	mhk	en
scs	mhr	en
scs	mk	en
scs	mki	en
scs	ml	en
scs	mn	en
scs	mr	en
scs	mrj	en
scs	ms	en
scs	mse	en
scs	mt	en
scs	mua	en
scs	mug	en
scs	mve	en
scs	mvy	en
scs	mxu	en
scs	myv	en
scs	nan-tw	en
scs	nb-NO	en
scs	ncx	es
scs	ne-NP	en
scs	nhi	en
scs	nl	en
scs	nla	en
scs	nlv	en
scs	nmg	en
scs	nmz	en
scs	nn-NO	en
scs	nnh	en
scs	nr	en
scs	nso	en
scs	nyu	en
scs	oc	en
scs	odk	en
scs	or	en
scs	oru	en
scs	os	en
scs	pa-IN	en
scs	pcm	en
scs	phl	en
scs	phr	en
scs	pl	en
scs	plk	en
scs	prq	en
scs	ps	en
scs	pt	en
scs	pua	es
scs	pwn	en
scs	qup	en
scs	qur	en
scs	qus	en
scs	qux	en
scs	quy	en
scs	qva	en
scs	qvi	en
scs	qvj	en
scs	qvl	en
scs	qwa	en
scs	qws	en
scs	qxa	en
scs	qxp	en
scs	qxt	en
scs	qxu	en
scs	qxw	en
scs	rm-sursilv	en
scs	rm-vallader	en
scs	ro	en
scs	rof	en
scs	ru	en
scs	rup	en
scs	rw	en
scs	sah	en
scs	sat	en
scs	sbn	en
scs	sc	en
scs	scl	en
scs	sd	en
scs	sei	es
scs	sk	en
scs	skr	en
scs	sl	en
scs	sq	en
scs	sr	en
scs	ss	en
scs	ssi	en
scs	st	en
scs	sv-SE	en
scs	sva	en
scs	sw	en
scs	szy	en
scs	ta	en
scs	tar	en
scs	tay	en
scs	te	en
scs	tg	en
scs	th	en
scs	ti	en
scs	tig	en
scs	tk	en
scs	tli	en
scs	tn	en
scs	tok	en
scs	tr	en
scs	trv	en
scs	trw	en
scs	ts	en
scs	tt	en
scs	tui	en
scs	tvu	en
scs	tw	en
scs	udl	en
scs	ug	en
scs	uk	en
scs	ur	en
scs	ush	en
scs	uz	en
scs	var	es
scs	ve	en
scs	vi	en
scs	vmw	en
scs	vot	en
scs	wbl	en
scs	wes	en
scs	xh	en
scs	xhe	en
scs	xka	en
scs	xmf	en
scs	yaq	es
scs	yav	en
scs	ydg	en
scs	yi	en
scs	yo	en
scs	yue	en
scs	zgh	en
scs	zh-CN	en
scs	zh-HK	en
scs	zh-TW	en
scs	zoc	es
scs	zu	en
scs	zza	en
sps	aat	en
sps	ady	en
sps	aln	en
sps	an	en
sps	ba	en
sps	bas	en
sps	bew	en
sps	br	en
sps	brx	en
sps	bsy	en
sps	bxk	en
sps	ca	en
sps	cdo	en
sps	cgg	en
sps	cpx	en
sps	cy	en
sps	de	en
sps	el-CY	en
sps	en	en
sps	fr	en
sps	fy-NL	en
sps	ga-IE	en
sps	gl	en
sps	gsw	en
sps	gv	en
sps	hac	en
sps	hch	es
sps	ka	en
sps	kbd	en
sps	kcn	en
sps	koo	en
sps	kzi	en
sps	led	en
sps	lij	en
sps	lke	en
sps	lth	en
sps	lv	en
sps	meh	es
sps	mel	en
sps	mmc	es
sps	ms-MY	en
sps	msi	en
sps	pne	en
sps	qxp	en
sps	ru	en
sps	ruc	en
sps	rwm	en
sps	sco	en
sps	sdo	en
sps	seh	en
sps	snv	en
sps	tob	en
sps	top	es
sps	tr	en
sps	ttj	en
sps	ukv	en
sps	ush	en
sps	xkl	en
